Ac 2c 3c    user
10c 2d 10s  lasky
10c 2d Js   ketchum
10c 2d Qs   grieve
10c 2d Ks   cheering
10c 2d Ah   brogan
10c 2d 2h   paws
10c 2d 3h   otley
10c 2d 4h   gateways
10c 2d 5h   olivet
10c 2d 6h   anim
10c 2d 7h   sift
10c 2d 8h   lessen
10c 2d 9h   legnica
10c 2d 10h  hoch
10c 2d Jh   gwynn
10c 2d Qh   testa
10c 2d Kh   souter
10c 3d Ac   ilia
10c 3d 2c   flask
10c 3d 3c   apiece
10c 3d 4c   shana
10c 3d 5c   sexiest
10c 3d 6c   obie
10c 3d 7c   mcevoy
10c 3d 8c   twitch
10c 3d 9c   kawai
10c 3d Jc   flipper
10c 3d Qc   elongate
10c 3d Kc   delights
10c 3d Ad   bouncer
10c 3d 2d   batt
10c 3d 4d   vimy
10c 3d 5d   pickled
10c 3d 6d   palissy
10c 3d 7d   isaak
10c 3d 8d   gallop
10c 3d 9d   disband
10c 3d 10d  carolus
10c 3d Jd   viseu
10c 3d Qd   thrift
10c 3d Kd   lida
10c 3d As   kotoko
10c 3d 2s   asgard
10c 3d 3s   sewn
10c 3d 4s   lanza
10c 3d 5s   unsung
10c 3d 6s   shakers
10c 3d 7s   mccloud
10c 3d 8s   hurwitz
10c 3d 9s   herein
10c 3d 10s  cady
10c 3d Js   riffs
10c 3d Qs   ramparts
10c 3d Ks   margie
10c 3d Ah   heise
10c 3d 2h   stoller
10c 3d 3h   scanners
10c 3d 4h   hatta
10c 3d 5h   farris
10c 3d 6h   ericales
10c 3d 7h   sorenson
10c 3d 8h   silenced
10c 3d 9h   ignace
10c 3d 10h  halpern
10c 3d Jh   groovy
10c 3d Qh   disprove
10c 3d Kh   virgilio
10c 4d Ac   trappist
10c 4d 2c   sedition
10c 4d 3c   lieut
10c 4d 4c   inject
10c 4d 5c   eben
10c 4d 6c   reps
10c 4d 7c   keyhole
10c 4d 8c   crafting
10c 4d 9c   coiled
10c 4d Jc   smog
10c 4d Qc   slayers
10c 4d Kc   prefects
10c 4d Ad   oaths
10c 4d 2d   lacombe
10c 4d 3d   unbound
10c 4d 5d   suvorov
10c 4d 6d   nena
10c 4d 7d   downer
10c 4d 8d   arecibo
10c 4d 9d   zoned
10c 4d 10d  yolo
10c 4d Jd   rosanna
10c 4d Qd   oruro
10c 4d Kd   minn
10c 4d As   cubism
10c 4d 2s   cluny
10c 4d 3s   galore
10c 4d 4s   brunet
10c 4d 5s   whiplash
10c 4d 6s   minton
10c 4d 7s   distort
10c 4d 8s   tooting
10c 4d 9s   pilaster
10c 4d 10s  hussar
10c 4d Js   backer
10c 4d Qs   tenths
10c 4d Ks   rafting
10c 4d Ah   lene
10c 4d 2h   hatter
10c 4d 3h   grumpy
10c 4d 4h   chine
10c 4d 5h   beards
10c 4d 6h   daud
10c 4d 7h   damiano
10c 4d 8h   castra
10c 4d 9h   woburn
10c 4d 10h  tofu
10c 4d Jh   auntie
10c 4d Qh   armagnac
10c 4d Kh   munda
10c 5d Ac   jessup
10c 5d 2c   affixed
10c 5d 3c   winkle
10c 5d 4c   globus
10c 5d 5c   trapeze
10c 5d 6c   nata
10c 5d 7c   tyndall
10c 5d 8c   scalp
10c 5d 9c   cams
10c 5d Jc   bhojpuri
10c 5d Qc   ketchup
10c 5d Kc   bruin
10c 5d Ad   solent
10c 5d 2d   sidon
10c 5d 3d   riverton
10c 5d 4d   imitated
10c 5d 6d   appalled
10c 5d 7d   allenby
10c 5d 8d   stedman
10c 5d 9d   pagans
10c 5d 10d  figs
10c 5d Jd   mccook
10c 5d Qd   lathe
10c 5d Kd   accuser
10c 5d As   cigars
10c 5d 2s   cabell
10c 5d 3s   abort
10c 5d 4s   stine
10c 5d 5s   freezer
10c 5d 6s   bales
10c 5d 7s   assis
10c 5d 8s   aneurysm
10c 5d 9s   heaps
10c 5d 10s  afoul
10c 5d Js   gags
10c 5d Qs   bessemer
10c 5d Ks   ohare
10c 5d Ah   korfball
10c 5d 2h   tripping
10c 5d 3h   rockport
10c 5d 4h   mottled
10c 5d 5h   dries
10c 5d 6h   carola
10c 5d 7h   verifies
10c 5d 8h   spraying
10c 5d 9h   solicit
10c 5d 10h  sacco
10c 5d Jh   orestes
10c 5d Qh   landform
10c 5d Kh   karo
10c 6d Ac   thrived
10c 6d 2c   rethink
10c 6d 3c   manaus
10c 6d 4c   epps
10c 6d 5c   andrija
10c 6d 6c   renames
10c 6d 7c   nuances
10c 6d 8c   lederer
10c 6d 9c   canna
10c 6d Jc   bastogne
10c 6d Qc   teodor
10c 6d Kc   hager
10c 6d Ad   crates
10c 6d 2d   cossidae
10c 6d 3d   askari
10c 6d 4d   slapping
10c 6d 5d   phenyl
10c 6d 7d   brumbies
10c 6d 8d   baka
10c 6d 9d   anis
10c 6d 10d  populism
10c 6d Jd   infra
10c 6d Qd   vang
10c 6d Kd   sandia
10c 6d As   sofie
10c 6d 2s   oxon
10c 6d 3s   landshut
10c 6d 4s   pinckney
10c 6d 5s   fuad
10c 6d 6s   compel
10c 6d 7s   bikers
10c 6d 8s   knuth
10c 6d 9s   hurdlers
10c 6d 10s  stalling
10c 6d Js   renounce
10c 6d Qs   reflexes
10c 6d Ks   rampur
10c 6d Ah   mooring
10c 6d 2h   debby
10c 6d 3h   tambo
10c 6d 4h   talkies
10c 6d 5h   strode
10c 6d 6h   steered
10c 6d 7h   nuanced
10c 6d 8h   minimise
10c 6d 9h   dugout
10c 6d 10h  winder
10c 6d Jh   recycle
10c 6d Qh   masking
10c 6d Kh   bramble
10c 7d Ac   alderney
10c 7d 2c   jokingly
10c 7d 3c   darrow
10c 7d 4c   casemate
10c 7d 5c   tunica
10c 7d 6c   stoneham
10c 7d 7c   punto
10c 7d 8c   clothed
10c 7d 9c   pellets
10c 7d Jc   cyprian
10c 7d Qc   fellini
10c 7d Kc   etoile
10c 7d Ad   dipped
10c 7d 2d   cinque
10c 7d 3d   shimmer
10c 7d 4d   cardwell
10c 7d 5d   pita
10c 7d 6d   perils
10c 7d 8d   perceval
10c 7d 9d   pantry
10c 7d 10d  flume
10c 7d Jd   claret
10c 7d Qd   amalthea
10c 7d Kd   utensils
10c 7d As   merriman
10c 7d 2s   eckert
10c 7d 3s   tourn
10c 7d 4s   torr
10c 7d 5s   noll
10c 7d 6s   leticia
10c 7d 7s   interns
10c 7d 8s   decode
10c 7d 9s   nixie
10c 7d 10s  luxor
10c 7d Js   trending
10c 7d Qs   loggins
10c 7d Ks   lehi
10c 7d Ah   keele
10c 7d 2h   joule
10c 7d 3h   varney
10c 7d 4h   unproven
10c 7d 5h   poaching
10c 7d 6h   lalo
10c 7d 7h   gerlach
10c 7d 8h   galois
10c 7d 9h   arda
10c 7d 10h  snowdon
10c 7d Jh   nieves
10c 7d Qh   nearctic
10c 7d Kh   illus
10c 8d Ac   fenner
10c 8d 2c   colonist
10c 8d 3c   beja
10c 8d 4c   skipton
10c 8d 5c   cowie
10c 8d 6c   aurelia
10c 8d 7c   alene
10c 8d 8c   valerian
10c 8d 9c   scray
10c 8d Jc   chrissie
10c 8d Qc   oden
10c 8d Kc   mohegan
10c 8d Ad   flawless
10c 8d 2d   weald
10c 8d 3d   harewood
10c 8d 4d   celibacy
10c 8d 5d   amrita
10c 8d 6d   brackett
10c 8d 7d   behemoth
10c 8d 9d   acne
10c 8d 10d  snapping
10c 8d Jd   planeta
10c 8d Qd   dothan
10c 8d Kd   steadman
10c 8d As   sagas
10c 8d 2s   caliente
10c 8d 3s   shamir
10c 8d 4s   rearing
10c 8d 5s   measles
10c 8d 6s   haswell
10c 8d 7s   gilmer
10c 8d 8s   cashier
10c 8d 9s   tireless
10c 8d 10s  precede
10c 8d Js   linearly
10c 8d Qs   guerin
10c 8d Ks   weevil
10c 8d Ah   tenacity
10c 8d 2h   nitrous
10c 8d 3h   narvik
10c 8d 4h   culpeper
10c 8d 5h   esher
10c 8d 6h   profess
10c 8d 7h   coupon
10c 8d 8h   kress
10c 8d 9h   arba
10c 8d 10h  vari
10c 8d Jh   sverige
10c 8d Qh   kook
10c 8d Kh   expanse
10c 9d Ac   crawler
10c 9d 2c   zuzana
10c 9d 3c   elly
10c 9d 4c   dior
10c 9d 5c   reimer
10c 9d 6c   matson
10c 9d 7c   firemen
10c 9d 8c   yokoyama
10c 9d 9c   tossing
10c 9d Jc   saransk
10c 9d Qc   overuse
10c 9d Kc   barnacle
10c 9d Ad   clipped
10c 9d 2d   ulrike
10c 9d 3d   earhart
10c 9d 4d   cann
10c 9d 5d   unlinked
10c 9d 6d   sassoon
10c 9d 7d   macaque
10c 9d 8d   blondes
10c 9d 10d  octet
10c 9d Jd   moms
10c 9d Qd   hermon
10c 9d Kd   glycine
10c 9d As   pippa
10c 9d 2s   lipetsk
10c 9d 3s   lemuel
10c 9d 4s   sensual
10c 9d 5s   hoang
10c 9d 6s   sayre
10c 9d 7s   nasi
10c 9d 8s   lingual
10c 9d 9s   indi
10c 9d 10s  freya
10c 9d Js   fabius
10c 9d Qs   crickets
10c 9d Ks   cinerea
10c 9d Ah   selene
10c 9d 2h   poised
10c 9d 3h   montcalm
10c 9d 4h   clos
10c 9d 5h   auer
10c 9d 6h   aalto
10c 9d 7h   symons
10c 9d 8h   restrain
10c 9d 9h   purview
10c 9d 10h  misled
10c 9d Jh   laughton
10c 9d Qh   ilha
10c 9d Kh   delphine
10c 10d Ac  catocala
10c 10d 2c  seabird
10c 10d 3c  pilate
10c 10d 4c  medica
10c 10d 5c  cheddar
10c 10d 6c  tyra
10c 10d 7c  sandor
10c 10d 8c  trappers
10c 10d 9c  ranching
10c 10d Jc  pera
10c 10d Qc  looms
10c 10d Kc  hadfield
10c 10d Ad  carlotta
10c 10d 2d  yalta
10c 10d 3d  radisson
10c 10d 4d  ginkgo
10c 10d 5d  corals
10c 10d 6d  outtakes
10c 10d 7d  karbala
10c 10d 8d  giraldo
10c 10d 9d  fleeting
10c 10d Jd  finitely
10c 10d Qd  chevrons
10c 10d Kd  hemphill
10c 10d As  barbet
10c 10d 2s  unworthy
10c 10d 3s  tiffin
10c 10d 4s  ruble
10c 10d 5s  kennet
10c 10d 6s  waveform
10c 10d 7s  pascale
10c 10d 8s  horrid
10c 10d 9s  flyby
10c 10d 10s chica
10c 10d Js  syllabic
10c 10d Qs  pendle
10c 10d Ks  generale
10c 10d Ah  abdu
10c 10d 2h  sunder
10c 10d 3h  squeezed
10c 10d 4h  maes
10c 10d 5h  gluten
10c 10d 6h  condemns
10c 10d 7h  alcoa
10c 10d 8h  railcars
10c 10d 9h  ionia
10c 10d 10h fridge
10c 10d Jh  purging
10c 10d Qh  jaap
10c 10d Kh  archway
10c Jd Ac   aharon
10c Jd 2c   casals
10c Jd 3c   armchair
10c Jd 4c   sarge
10c Jd 5c   aurea
10c Jd 6c   soulful
10c Jd 7c   risking
10c Jd 8c   raytheon
10c Jd 9c   gatherer
10c Jd Jc   gargoyle
10c Jd Qc   mastodon
10c Jd Kc   rothesay
10c Jd Ad   lode
10c Jd 2d   deceived
10c Jd 3d   mantova
10c Jd 4d   manos
10c Jd 5d   godley
10c Jd 6d   carat
10c Jd 7d   tiberias
10c Jd 8d   reentry
10c Jd 9d   waved
10c Jd 10d  schwyz
10c Jd Qd   recharge
10c Jd Kd   grasping
10c Jd As   backers
10c Jd 2s   shinty
10c Jd 3s   sandhya
10c Jd 4s   micheal
10c Jd 5s   leds
10c Jd 6s   deathbed
10c Jd 7s   ciro
10c Jd 8s   slaying
10c Jd 9s   midge
10c Jd 10s  impostor
10c Jd Js   venturi
10c Jd Qs   nymphs
10c Jd Ks   gooding
10c Jd Ah   vapour
10c Jd 2h   ondrej
10c Jd 3h   givens
10c Jd 4h   fandango
10c Jd 5h   basile
10c Jd 6h   padded
10c Jd 7h   cheval
10c Jd 8h   callie
10c Jd 9h   timmons
10c Jd 10h  simonsen
10c Jd Jh   oban
10c Jd Qh   nansen
10c Jd Kh   diogenes
10c Qd Ac   arica
10c Qd 2c   toddler
10c Qd 3c   sonoran
10c Qd 4c   kolar
10c Qd 5c   hammett
10c Qd 6c   texaco
10c Qd 7c   ethereal
10c Qd 8c   cuisines
10c Qd 9c   tanah
10c Qd Jc   spoons
10c Qd Qc   ferrier
10c Qd Kc   commoner
10c Qd Ad   natale
10c Qd 2d   keypress
10c Qd 3d   haney
10c Qd 4d   ainslie
10c Qd 5d   rias
10c Qd 6d   delos
10c Qd 7d   neuilly
10c Qd 8d   macaw
10c Qd 9d   barthel
10c Qd 10d  nussbaum
10c Qd Jd   erna
10c Qd Kd   franky
10c Qd As   timon
10c Qd 2s   kroll
10c Qd 3s   vento
10c Qd 4s   revoke
10c Qd 5s   melina
10c Qd 6s   eloy
10c Qd 7s   deduce
10c Qd 8s   copious
10c Qd 9s   stanzas
10c Qd 10s  jornada
10c Qd Js   farouk
10c Qd Qs   dezful
10c Qd Ks   bande
10c Qd Ah   thibault
10c Qd 2h   lagoons
10c Qd 3h   infin
10c Qd 4h   becca
10c Qd 5h   lorimer
10c Qd 6h   inker
10c Qd 7h   ankh
10c Qd 8h   thapa
10c Qd 9h   teleport
10c Qd 10h  tarmac
10c Qd Jh   volution
10c Qd Qh   sandi
10c Qd Kh   impart
10c Kd Ac   chard
10c Kd 2c   bertolt
10c Kd 3c   papp
10c Kd 4c   motu
10c Kd 5c   hansel
10c Kd 6c   hamelin
10c Kd 7c   ashwin
10c Kd 8c   physik
10c Kd 9c   mizrahi
10c Kd Jc   cordial
10c Kd Qc   taxable
10c Kd Kc   suction
10c Kd Ad   rabaul
10c Kd 2d   progreso
10c Kd 3d   odette
10c Kd 4d   kenai
10c Kd 5d   futura
10c Kd 6d   butchers
10c Kd 7d   tournai
10c Kd 8d   coro
10c Kd 9d   sime
10c Kd 10d  jest
10c Kd Jd   fawkes
10c Kd Qd   clary
10c Kd As   chisel
10c Kd 2s   azar
10c Kd 3s   taganrog
10c Kd 4s   shred
10c Kd 5s   frisbee
10c Kd 6s   enugu
10c Kd 7s   diverged
10c Kd 8s   condo
10c Kd 9s   offa
10c Kd 10s  kronos
10c Kd Js   zipper
10c Kd Qs   thalia
10c Kd Ks   orally
10c Kd Ah   lossless
10c Kd 2h   kherson
10c Kd 3h   abed
10c Kd 4h   trestle
10c Kd 5h   raine
10c Kd 6h   matar
10c Kd 7h   kempton
10c Kd 8h   firewood
10c Kd 9h   asmara
10c Kd 10h  wausau
10c Kd Jh   sabu
10c Kd Qh   pfizer
10c Kd Kh   pergamon
10c As Ac   kolding
10c As 2c   castelli
10c As 3c   arcadian
10c As 4c   succinct
10c As 5c   mingo
10c As 6c   rims
10c As 7c   nand
10c As 8c   halal
10c As 9c   fenced
10c As Jc   borrows
10c As Qc   relayed
10c As Kc   geodesic
10c As Ad   fragrant
10c As 2d   cava
10c As 3d   warheads
10c As 4d   trna
10c As 5d   moffett
10c As 6d   lodz
10c As 7d   encyc
10c As 8d   birdy
10c As 9d   rata
10c As 10d  pedantic
10c As Jd   wendover
10c As Qd   hearne
10c As Kd   gordie
10c As 2s   positron
10c As 3s   bukidnon
10c As 4s   silicone
10c As 5s   lichens
10c As 6s   brasilia
10c As 7s   botched
10c As 8s   wemyss
10c As 9s   rosita
10c As 10s  redeem
10c As Js   hideous
10c As Qs   dorman
10c As Ks   birr
10c As Ah   ashlar
10c As 2h   slid
10c As 3h   pores
10c As 4h   heep
10c As 5h   fronting
10c As 6h   clasps
10c As 7h   smelter
10c As 8h   ream
10c As 9h   flurry
10c As 10h  filo
10c As Jh   atul
10c As Qh   tinted
10c As Kh   shunting
10c 2s Ac   neman
10c 2s 2c   tutelary
10c 2s 3c   greys
10c 2s 4c   chaffee
10c 2s 5c   wenger
10c 2s 6c   rafe
10c 2s 7c   joana
10c 2s 8c   selden
10c 2s 9c   derecho
10c 2s Jc   linea
10c 2s Qc   eloquent
10c 2s Kc   branca
10c 2s Ad   faustus
10c 2s 2d   begged
10c 2s 3d   schooled
10c 2s 4d   svend
10c 2s 5d   olena
10c 2s 6d   catenary
10c 2s 7d   vets
10c 2s 8d   sweeper
10c 2s 9d   rushmore
10c 2s 10d  chirac
10c 2s Jd   cagney
10c 2s Qd   brodsky
10c 2s Kd   allo
10c 2s As   pepys
10c 2s 3s   biannual
10c 2s 4s   michaud
10c 2s 5s   cornea
10c 2s 6s   bren
10c 2s 7s   arianna
10c 2s 8s   starved
10c 2s 9s   mahi
10c 2s 10s  alphonso
10c 2s Js   soissons
10c 2s Qs   duels
10c 2s Ks   chiles
10c 2s Ah   bedlam
10c 2s 2h   warangal
10c 2s 3h   cheats
10c 2s 4h   bumped
10c 2s 5h   susa
10c 2s 6h   raye
10c 2s 7h   breve
10c 2s 8h   anza
10c 2s 9h   rehoboth
10c 2s 10h  paulding
10c 2s Jh   duffield
10c 2s Qh   contends
10c 2s Kh   samiti
10c 3s Ac   reverb
10c 3s 2c   prenatal
10c 3s 3c   nutter
10c 3s 4c   deranged
10c 3s 5c   decipher
10c 3s 6c   unfolded
10c 3s 7c   tuan
10c 3s 8c   rancid
10c 3s 9c   herbst
10c 3s Jc   bodhi
10c 3s Qc   awardee
10c 3s Kc   lani
10c 3s Ad   carrion
10c 3s 2d   booklets
10c 3s 3d   alleles
10c 3s 4d   sergipe
10c 3s 5d   ricochet
10c 3s 6d   ember
10c 3s 7d   amory
10c 3s 8d   lugar
10c 3s 9d   loveland
10c 3s 10d  ambrosia
10c 3s Jd   mitford
10c 3s Qd   lysine
10c 3s Kd   dayal
10c 3s As   daughtry
10c 3s 2s   casco
10c 3s 4s   autre
10c 3s 5s   kura
10c 3s 6s   mummies
10c 3s 7s   spiker
10c 3s 8s   rive
10c 3s 9s   damping
10c 3s 10s  crib
10c 3s Js   bunko
10c 3s Qs   marauder
10c 3s Ks   granary
10c 3s Ah   cashbox
10c 3s 2h   appease
10c 3s 3h   shatter
10c 3s 4h   seco
10c 3s 5h   grayling
10c 3s 6h   dailey
10c 3s 7h   tami
10c 3s 8h   songbird
10c 3s 9h   llandaff
10c 3s 10h  concours
10c 3s Jh   mitzvah
10c 3s Qh   emits
10c 3s Kh   drammen
10c 4s Ac   farsi
10c 4s 2c   torana
10c 4s 3c   hort
10c 4s 4c   galilei
10c 4s 5c   compress
10c 4s 6c   braced
10c 4s 7c   usfl
10c 4s 8c   regulus
10c 4s 9c   nichol
10c 4s Jc   looping
10c 4s Qc   kiva
10c 4s Kc   ruck
10c 4s Ad   exorcism
10c 4s 2d   villars
10c 4s 3d   bork
10c 4s 4d   aarau
10c 4s 5d   lyre
10c 4s 6d   crores
10c 4s 7d   diatonic
10c 4s 8d   patric
10c 4s 9d   abitibi
10c 4s 10d  urgently
10c 4s Jd   stylised
10c 4s Qd   stratum
10c 4s Kd   petiole
10c 4s As   dorking
10c 4s 2s   sutta
10c 4s 3s   sayer
10c 4s 5s   rectors
10c 4s 6s   insure
10c 4s 7s   fuelled
10c 4s 8s   delray
10c 4s 9s   sadhana
10c 4s 10s  relata
10c 4s Js   gamelan
10c 4s Qs   strabane
10c 4s Ks   spiked
10c 4s Ah   ploy
10c 4s 2h   eyalet
10c 4s 3h   bellman
10c 4s 4h   aether
10c 4s 5h   oceana
10c 4s 6h   legation
10c 4s 7h   executes
10c 4s 8h   detonate
10c 4s 9h   ringgold
10c 4s 10h  redeemed
10c 4s Jh   helmsman
10c 4s Qh   flakes
10c 4s Kh   ciao
10c 5s Ac   savant
10c 5s 2c   placenta
10c 5s 3c   eleonore
10c 5s 4c   cheeser
10c 5s 5c   brom
10c 5s 6c   talley
10c 5s 7c   rhizome
10c 5s 8c   nightjar
10c 5s 9c   visor
10c 5s Jc   stela
10c 5s Qc   callisto
10c 5s Kc   taira
10c 5s Ad   shruti
10c 5s 2d   prospero
10c 5s 3d   nubia
10c 5s 4d   nieces
10c 5s 5d   hardman
10c 5s 6d   kinsman
10c 5s 7d   kaduna
10c 5s 8d   immunol
10c 5s 9d   hotly
10c 5s 10d  drags
10c 5s Jd   captors
10c 5s Qd   barter
10c 5s Kd   quint
10c 5s As   prentiss
10c 5s 2s   jager
10c 5s 3s   carabus
10c 5s 4s   autos
10c 5s 6s   airships
10c 5s 7s   shingles
10c 5s 8s   ouvrage
10c 5s 9s   loca
10c 5s 10s  langlois
10c 5s Js   conrail
10c 5s Qs   mende
10c 5s Ks   kimble
10c 5s Ah   croquet
10c 5s 2h   willed
10c 5s 3h   unwise
10c 5s 4h   neff
10c 5s 5h   minos
10c 5s 6h   brainerd
10c 5s 7h   abound
10c 5s 8h   besa
10c 5s 9h   baudouin
10c 5s 10h  penchant
10c 5s Jh   mexicali
10c 5s Qh   bulky
10c 5s Kh   yanks
10c 6s Ac   rescuers
10c 6s 2c   trask
10c 6s 3c   pounders
10c 6s 4c   materia
10c 6s 5c   ganglion
10c 6s 6c   fella
10c 6s 7c   maracan
10c 6s 8c   slag
10c 6s 9c   hakeem
10c 6s Jc   galop
10c 6s Qc   chios
10c 6s Kc   cawley
10c 6s Ad   arriba
10c 6s 2d   linkages
10c 6s 3d   homewood
10c 6s 4d   evoked
10c 6s 5d   ellwood
10c 6s 6d   bibles
10c 6s 7d   stockade
10c 6s 8d   nevins
10c 6s 9d   wields
10c 6s 10d  weyl
10c 6s Jd   suki
10c 6s Qd   jaga
10c 6s Kd   enacting
10c 6s As   rubles
10c 6s 2s   lindner
10c 6s 3s   kashi
10c 6s 4s   allyn
10c 6s 5s   waldman
10c 6s 7s   oneonta
10c 6s 8s   elks
10c 6s 9s   anorexia
10c 6s 10s  goethean
10c 6s Js   eyebrows
10c 6s Qs   conch
10c 6s Ks   bord
10c 6s Ah   signaled
10c 6s 2h   fredric
10c 6s 3h   wert
10c 6s 4h   stink
10c 6s 5h   stances
10c 6s 6h   fiance
10c 6s 7h   esters
10c 6s 8h   bicol
10c 6s 9h   ketone
10c 6s 10h  chemung
10c 6s Jh   burdett
10c 6s Qh   tsushima
10c 6s Kh   radiance
10c 7s Ac   lacuna
10c 7s 2c   impulses
10c 7s 3c   coria
10c 7s 4c   skits
10c 7s 5c   burgoyne
10c 7s 6c   armlets
10c 7s 7c   usurper
10c 7s 8c   soli
10c 7s 9c   ramey
10c 7s Jc   hanger
10c 7s Qc   emissary
10c 7s Kc   caribe
10c 7s Ad   bldg
10c 7s 2d   hela
10c 7s 3d   gdansk
10c 7s 4d   fetched
10c 7s 5d   droplets
10c 7s 6d   bonsai
10c 7s 7d   paseo
10c 7s 8d   melkite
10c 7s 9d   hoot
10c 7s 10d  reger
10c 7s Jd   loach
10c 7s Qd   illyria
10c 7s Kd   bonnier
10c 7s As   wendel
10c 7s 2s   clementi
10c 7s 3s   bluebell
10c 7s 4s   zucker
10c 7s 5s   straub
10c 7s 6s   sprites
10c 7s 8s   changer
10c 7s 9s   boni
10c 7s 10s  destruct
10c 7s Js   allis
10c 7s Qs   kenmore
10c 7s Ks   forges
10c 7s Ah   cueva
10c 7s 2h   brome
10c 7s 3h   wilco
10c 7s 4h   rerouted
10c 7s 5h   polaron
10c 7s 6h   conlon
10c 7s 7h   colwyn
10c 7s 8h   nayarit
10c 7s 9h   hazen
10c 7s 10h  dubs
10c 7s Jh   diehl
10c 7s Qh   coconino
10c 7s Kh   caras
10c 8s Ac   bursting
10c 8s 2c   atrial
10c 8s 3c   waned
10c 8s 4c   kenner
10c 8s 5c   gish
10c 8s 6c   geir
10c 8s 7c   ecclesia
10c 8s 8c   prez
10c 8s 9c   enosis
10c 8s Jc   blower
10c 8s Qc   berbers
10c 8s Kc   sieg
10c 8s Ad   cautions
10c 8s 2d   batty
10c 8s 3d   anker
10c 8s 4d   albacore
10c 8s 5d   phage
10c 8s 6d   emmylou
10c 8s 7d   chalon
10c 8s 8d   buganda
10c 8s 9d   warmest
10c 8s 10d  sharper
10c 8s Jd   savitri
10c 8s Qd   rawhide
10c 8s Kd   perla
10c 8s As   munn
10c 8s 2s   hoppe
10c 8s 3s   diluted
10c 8s 4s   norad
10c 8s 5s   ranchers
10c 8s 6s   ieyasu
10c 8s 7s   delicacy
10c 8s 9s   studia
10c 8s 10s  scioto
10c 8s Js   milly
10c 8s Qs   clutches
10c 8s Ks   arousal
10c 8s Ah   tutto
10c 8s 2h   sweetest
10c 8s 3h   shaver
10c 8s 4h   luttrell
10c 8s 5h   adachi
10c 8s 6h   whitten
10c 8s 7h   weakens
10c 8s 8h   rebekah
10c 8s 9h   mccurdy
10c 8s 10h  verden
10c 8s Jh   sausages
10c 8s Qh   miskolc
10c 8s Kh   capps
10c 9s Ac   wailers
10c 9s 2c   shampoo
10c 9s 3c   pacifism
10c 9s 4c   brittain
10c 9s 5c   semarang
10c 9s 6c   orbitals
10c 9s 7c   bukovina
10c 9s 8c   ibid
10c 9s 9c   disrupts
10c 9s Jc   armoury
10c 9s Qc   prickly
10c 9s Kc   eastlake
10c 9s Ad   cheapest
10c 9s 2d   vico
10c 9s 3d   hologram
10c 9s 4d   cowles
10c 9s 5d   bitmap
10c 9s 6d   assn
10c 9s 7d   allerton
10c 9s 8d   acidity
10c 9s 9d   smacks
10c 9s 10d  heretics
10c 9s Jd   haye
10c 9s Qd   ailments
10c 9s Kd   raab
10c 9s As   mustache
10c 9s 2s   milliken
10c 9s 3s   rebate
10c 9s 4s   orang
10c 9s 5s   editable
10c 9s 6s   dialysis
10c 9s 7s   consuelo
10c 9s 8s   carles
10c 9s 10s  tighten
10c 9s Js   grav
10c 9s Qs   grassi
10c 9s Ks   audits
10c 9s Ah   raving
10c 9s 2h   figurine
10c 9s 3h   subtypes
10c 9s 4h   leftover
10c 9s 5h   kossuth
10c 9s 6h   elec
10c 9s 7h   okinawan
10c 9s 8h   edirne
10c 9s 9h   riverine
10c 9s 10h  rickshaw
10c 9s Jh   functor
10c 9s Qh   wold
10c 9s Kh   reappear
10c 10s Ac  novices
10c 10s 2c  greener
10c 10s 3c  crassus
10c 10s 4c  carom
10c 10s 5c  bernardi
10c 10s 6c  tuolumne
10c 10s 7c  jezebel
10c 10s 8c  gulfport
10c 10s 9c  emptying
10c 10s Jc  emmerich
10c 10s Qc  bogs
10c 10s Kc  halts
10c 10s Ad  aalst
10c 10s 2d  wimpy
10c 10s 3d  soweto
10c 10s 4d  rheims
10c 10s 5d  lard
10c 10s 6d  bastrop
10c 10s 7d  sugden
10c 10s 8d  keung
10c 10s 9d  trespass
10c 10s 10d piaget
10c 10s Jd  chela
10c 10s Qd  nerds
10c 10s Kd  maidan
10c 10s As  endpoint
10c 10s 2s  altamira
10c 10s 3s  alcohols
10c 10s 4s  rifled
10c 10s 5s  objet
10c 10s 6s  fitzhugh
10c 10s 7s  wetter
10c 10s 8s  starbuck
10c 10s 9s  scaffold
10c 10s Js  quarried
10c 10s Qs  muscogee
10c 10s Ks  dupuy
10c 10s Ah  alagoas
10c 10s 2h  oswaldo
10c 10s 3h  germinal
10c 10s 4h  chats
10c 10s 5h  boredom
10c 10s 6h  nicene
10c 10s 7h  navel
10c 10s 8h  elfin
10c 10s 9h  piney
10c 10s 10h holyhead
10c 10s Jh  imagines
10c 10s Qh  heroines
10c 10s Kh  dogmatic
10c Js Ac   picky
10c Js 2c   ital
10c Js 3c   fourths
10c Js 4c   demeter
10c Js 5c   troup
10c Js 6c   messer
10c Js 7c   kumasi
10c Js 8c   julieta
10c Js 9c   berea
10c Js Jc   alda
10c Js Qc   perilous
10c Js Kc   lali
10c Js Ad   scams
10c Js 2d   hrvatska
10c Js 3d   drawback
10c Js 4d   zwickau
10c Js 5d   lachaise
10c Js 6d   cuesta
10c Js 7d   tenured
10c Js 8d   slugs
10c Js 9d   silvana
10c Js 10d  unicorns
10c Js Jd   ultimo
10c Js Qd   spink
10c Js Kd   roby
10c Js As   itasca
10c Js 2s   humpback
10c Js 3s   confed
10c Js 4s   carve
10c Js 5s   zohar
